plant_id,plant_name,technology,capacity_kw,capacity_mw,capacity_factor,energy_mwh,plant_postcode,plant_ort,plant_municipality,plant_district,plant_location_id,substation_id,substation_name,substation_operator,substation_voltage,substation_type,distance_to_substation_m
SEE955235467800,WEA 05 - 204510,Wind,3075.0,3.075,0.32,8619.84,3238,Göllnitz,Sallgast,Elbe-Elster,SEL918427356177,2443,,,110000,generation,746.2282022398116
SEE912676298950,WEA 03 - 202977,Wind,3075.0,3.075,0.32,8619.84,3238,Göllnitz,Sallgast,Elbe-Elster,SEL918427356177,2443,,,110000,generation,1248.1338534826307
SEE950531611322,WEA 04 - 202978,Wind,3075.0,3.075,0.32,8619.84,3238,Göllnitz,Sallgast,Elbe-Elster,SEL918427356177,2443,,,110000,generation,940.0011837646384
SEE908136300608,WEA 07 - 202981,Wind,3075.0,3.075,0.32,8619.84,3238,Göllnitz,Sallgast,Elbe-Elster,SEL918427356177,2443,,,110000,generation,618.3781978136549
SEE903184271115,WEA 08 - 202980,Wind,3075.0,3.075,0.32,8619.84,3238,Göllnitz,Sallgast,Elbe-Elster,SEL918427356177,2443,,,110000,generation,943.6837233015652
SEE949917890666,HOGUOK 03,Wind,3230.0,3.23,0.32,9054.336,17291,Prenzlau,Prenzlau,Uckermark,SEL961658308583,3278,Umspannwerk Bertikow,Enertrag,110000,transmission,3217.641318835524
SEE935088263422,FIWA II-2,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE914868425311,HOGUOK 04,Wind,3230.0,3.23,0.32,9054.336,17291,Prenzlau,Prenzlau,Uckermark,SEL961658308583,3278,Umspannwerk Bertikow,Enertrag,110000,transmission,2875.1260223662616
SEE979718047747,FIWA II-3,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE963507614159,HOGUOK 06,Wind,3230.0,3.23,0.32,9054.336,17291,Prenzlau,Prenzlau,Uckermark,SEL961658308583,3278,Umspannwerk Bertikow,Enertrag,110000,transmission,2700.533860850058
SEE909311193336,FIWA II-4,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE981253585219,FIWA II-5,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE970876189270,FIWA II-6,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE963734645049,HOGÜ 07,Wind,1500.0,1.5,0.32,4204.8,17291,Prenzlau,Prenzlau,Uckermark,SEL908859460405,3278,Umspannwerk Bertikow,Enertrag,110000,transmission,3782.798203261707
SEE945367799467,FIWA II-7,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE931900662466,FIWA II-8,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE962505896864,FIWA II-9,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE936965956079,FIWA II-10,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE973221531779,FIWA II-11,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE951042834866,FIWA -12,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE938847781410,FIWA II-13,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE901437763714,FIWA II-14,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE975873699975,FIWA II-15,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE904359172817,DE49.002 Kunersdorf 2 BA II SÜD,Solare Strahlungsenergie,120.0,0.12,0.12,126.144,16269,Bliesdorf,Bliesdorf,Märkisch-Oderland,SEL983106720051,3425,,,,,639.1688302958415
SEE995023439879,FIWA II-16,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE922707343115,FIWA II-17,Solare Strahlungsenergie,630.0,0.63,0.12,662.256,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE913323644014,FIWA III-2,Solare Strahlungsenergie,630.0,0.63,0.12,662.256,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE970736502218,FIWA III-3,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE926246865442,FIWA III-4,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE935387305397,FIWA III-5,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE996932142881,FIWA III-6,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE999784885586,MAL1,Wind,5700.0,5.7,0.32,15978.24,16278,Mark Landin,Mark Landin,Uckermark,SEL940438700175,1469,Mürow Oberdorf,,110000,generation,4005.746623741655
SEE987055665845,Hohenseefeld 2000-352-01,Wind,2000.0,2.0,0.32,5606.400000000001,14913,Hohenseefeld,Niederer Fläming,Teltow-Fläming,SEL927801897694,313,,,,,3285.3623509925333
SEE923986610943,FIWA III-7,Solare Strahlungsenergie,630.0,0.63,0.12,662.256,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE902477425655,FIWA III-8,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE963291615356,FIWA III-9,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE930310633905,FIWA III-10,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE980034550668,FIWA III-11,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE978917700149,FIWA III-12,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE966684322107,FIWA III-13,Solare Strahlungsenergie,1250.0,1.25,0.12,1314.0,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE922467288190,FIWA III-14,Solare Strahlungsenergie,630.0,0.63,0.12,662.256,3238,Finsterwalde,Finsterwalde,Elbe-Elster,SEL970195866029,1598,,,110000,,4526.204229448319
SEE911142757724,13-28140159 (E32206),Wind,2530.0,2.53,0.32,7092.096,15936,Dahme,Dahme/Mark,Teltow-Fläming,SEL912157231667,221,Wahlsdorf 3,E.DIS Netz GmbH,,minor_distribution,1798.5873432278597
SEE958240338363,09-28140161 (E32289),Wind,2530.0,2.53,0.32,7092.096,15936,Dahme,Dahme/Mark,Teltow-Fläming,SEL912157231667,1435,Charlottenfelde,EON_edis,110000,distribution,1705.541835241968
SEE908766965840,Luckau I,Solare Strahlungsenergie,1496.0,1.496,0.12,1572.5951999999997,15926,Luckau,Luckau,Dahme-Spreewald,SEL985003019443,1667,Willmersdorf,BKW Dubener Platte,110000,generation,2425.5438797367074
SEE965753897959,15-28140157 (E32182),Wind,2530.0,2.53,0.32,7092.096,15936,Dahme,Dahme/Mark,Teltow-Fläming,SEL912157231667,3492,,,110000,,1810.205314010699
SEE967062573401,Luckau II,Solare Strahlungsenergie,4947.0,4.947,0.12,5200.2864,15926,Luckau,Luckau,Dahme-Spreewald,SEL985003019443,1667,Willmersdorf,BKW Dubener Platte,110000,generation,2200.556127882638
SEE951552541346,Hohenseefeld 2000-322-10,Wind,2000.0,2.0,0.32,5606.400000000001,14913,Hohenseefeld,Niederer Fläming,Teltow-Fläming,SEL908934842126,313,,,,,2947.2967802131684
SEE991022641107,Werbig 2000-340-01,Wind,2000.0,2.0,0.32,5606.400000000001,14913,Lichterfelde,Niederer Fläming,Teltow-Fläming,SEL908934842126,2559,,eon,,,1152.2712090937252
SEE935013358322,NM 68252-29,Wind,1500.0,1.5,0.32,4204.8,14641,Nauen,Nauen,Havelland,SEL931161235959,1567,Neukammer,E.DIS Netz GmbH,110000,generation,760.412437193461
SEE960128164667,1011557,Wind,3050.0,3.05,0.32,8549.76,14822,Niederwerbig,Mühlenfließ,Potsdam-Mittelmark,SEL927992782083,1746,Neu Rietz,,110000,generation,3084.817018769335
SEE915832188492,NM 68253-28,Wind,1500.0,1.5,0.32,4204.8,14641,Nauen,Nauen,Havelland,SEL931161235959,1567,Neukammer,E.DIS Netz GmbH,110000,generation,1060.0438444185113
SEE904247798549,NM 68255-02,Wind,1500.0,1.5,0.32,4204.8,14641,Nauen,Nauen,Havelland,SEL931161235959,1567,Neukammer,E.DIS Netz GmbH,110000,generation,2101.14077412062
SEE988722606604,NM 68256-01,Wind,1500.0,1.5,0.32,4204.8,14641,Nauen,Nauen,Havelland,SEL931161235959,1567,Neukammer,E.DIS Netz GmbH,110000,generation,1840.1656504312853
SEE913121380596,1011558,Wind,3050.0,3.05,0.32,8549.76,14822,Niederwerbig,Mühlenfließ,Potsdam-Mittelmark,SEL927992782083,1746,Neu Rietz,,110000,generation,2895.7191089640987
SEE987662341453,1011559,Wind,3050.0,3.05,0.32,8549.76,14822,Niederwerbig,Mühlenfließ,Potsdam-Mittelmark,SEL927992782083,1746,Neu Rietz,,110000,generation,2854.640082528553
SEE904461185859,1011560,Wind,3050.0,3.05,0.32,8549.76,14822,Niederwerbig,Mühlenfließ,Potsdam-Mittelmark,SEL927992782083,1746,Neu Rietz,,110000,generation,2589.2700083675145
SEE951005131575,1011561,Wind,3050.0,3.05,0.32,8549.76,14822,Niederwerbig,Mühlenfließ,Potsdam-Mittelmark,SEL927992782083,1746,Neu Rietz,,110000,generation,2470.171765355407
SEE957866651795,1011562,Wind,3050.0,3.05,0.32,8549.76,14822,Niederwerbig,Mühlenfließ,Potsdam-Mittelmark,SEL927992782083,1746,Neu Rietz,,110000,generation,2361.5414220787293
SEE913279829015,1011563,Wind,3050.0,3.05,0.32,8549.76,14822,Niederwerbig,Mühlenfließ,Potsdam-Mittelmark,SEL927992782083,1746,Neu Rietz,,110000,generation,2381.927105604214
SEE909672112502,1011564,Wind,3050.0,3.05,0.32,8549.76,14822,Niederwerbig,Mühlenfließ,Potsdam-Mittelmark,SEL927992782083,2340,Schaltpunkt Rietz,E.DIS Netz GmbH,110000,transmission,2448.52004905413
SEE998079166430,Windkraftanlage V18228,Wind,2000.0,2.0,0.32,5606.400000000001,16792,Zehdenick,Zehdenick,Oberhavel,SEL982590875612,1569,Badingen,EON_edis,110000,generation,1563.1936915432595
SEE970615593979,Wilhelmshof E 48 WEA 1,Wind,800.0,0.8,0.32,2242.56,17291,Prenzlau,Prenzlau,Uckermark,SEL951921368949,286,,,,,1476.3954610506642
SEE907257690698,Wilhelmshof E 48 WEA 2,Wind,800.0,0.8,0.32,2242.56,17291,Prenzlau,Prenzlau,Uckermark,SEL951921368949,286,,,,,1439.1514133671858
SEE907181080831,Wilhelmshof E 48 WEA 3,Wind,800.0,0.8,0.32,2242.56,17291,Prenzlau,Prenzlau,Uckermark,SEL951921368949,286,,,,,930.341869285386
SEE979931002356,Wilhelmshof E 48 WEA 4,Wind,800.0,0.8,0.32,2242.56,17291,Prenzlau,Prenzlau,Uckermark,SEL951921368949,286,,,,,1265.0643459150608
SEE967197552944,Basedow II E 53 WEA 1,Wind,800.0,0.8,0.32,2242.56,17291,Prenzlau,Prenzlau,Uckermark,SEL951921368949,1436,Güstow,E.DIS Netz,110000,generation,469.52090835391624
SEE996537159505,Basedow II E 53 WEA 2,Wind,800.0,0.8,0.32,2242.56,17291,Prenzlau,Prenzlau,Uckermark,SEL951921368949,1436,Güstow,E.DIS Netz,110000,generation,999.3694588087948
SEE969191229419,"WEA 08, Serien-Nr. 1150012",Wind,3000.0,3.0,0.32,8409.6,14929,Treuenbrietzen,Treuenbrietzen,Potsdam-Mittelmark,SEL931529164624,2159,Umspannwerk Feldheim,Energiequelle GmbH,110000,,2200.3789104464036
SEE968369238147,Windkraftanlage V20102,Wind,2000.0,2.0,0.32,5606.400000000001,16792,Zehdenick,Zehdenick,Oberhavel,SEL982590875612,1569,Badingen,EON_edis,110000,generation,1140.8546727353587
SEE992964040393,Windkraftanlage V20622,Wind,2000.0,2.0,0.32,5606.400000000001,16792,Zehdenick,Zehdenick,Oberhavel,SEL982590875612,1569,Badingen,EON_edis,110000,generation,930.620863103864
SEE949710155146,Windkraftanlage V20623,Wind,2000.0,2.0,0.32,5606.400000000001,16792,Zehdenick,Zehdenick,Oberhavel,SEL982590875612,2282,Umspannwerk Gransee,50Hertz Transmission GmbH,380000,transmission,1205.6645493455317
SEE996298126105,WeMüMüTEE,Wind,600.0,0.6,0.32,1681.92,16945,Marienfließ,Marienfließ,Prignitz,SEL941611717737,1290,,,,generation,5476.680477828509
SEE933135627883,WKA II,Wind,2300.0,2.3,0.32,6447.360000000001,16928,Gerdshagen,Gerdshagen,Prignitz,SEL993566398417,2351,Falkenhagen Nord,E.DIS Netz GmbH,110000,generation,4032.6853120353053
SEE966164581000,VaMüTEE,Wind,600.0,0.6,0.32,1681.92,16945,Marienfließ,Marienfließ,Prignitz,SEL941611717737,1289,,,,generation,4920.855830098839
SEE916087740329,VaTEE,Wind,600.0,0.6,0.32,1681.92,16945,Marienfließ,Marienfließ,Prignitz,SEL941611717737,1289,,,,generation,4754.466784408157
SEE921978316651,TEEVaWe,Wind,600.0,0.6,0.32,1681.92,16945,Marienfließ,Marienfließ,Prignitz,SEL941611717737,1289,,,,generation,5224.801569532322
SEE918880541240,VaWeTEE,Wind,600.0,0.6,0.32,1681.92,16945,Marienfließ,Marienfließ,Prignitz,SEL941611717737,1290,,,,generation,5239.102548956546
SEE921326034930,"V66 - 1,75 VCS Nr. 11747",Wind,1650.0,1.65,0.32,4625.28,15345,Rehfelde,Rehfelde,Märkisch-Oderland,SEL941993095959,1703,Heidekrug,E.DIS Netz,110000,distribution,2915.472260977266
SEE959261769174,WEA01,Wind,1500.0,1.5,0.32,4204.8,16928,Pritzwalk,Pritzwalk,Prignitz,SEL965115420726,2351,Falkenhagen Nord,E.DIS Netz GmbH,110000,generation,4693.383550745562
SEE931718682618,WEA02,Wind,1500.0,1.5,0.32,4204.8,16928,Pritzwalk,Pritzwalk,Prignitz,SEL967402442275,2351,Falkenhagen Nord,E.DIS Netz GmbH,110000,generation,5004.290459257468
SEE995223955711,WEA01,Wind,1500.0,1.5,0.32,4204.8,14797,Kloster Lehnin,Kloster Lehnin,Potsdam-Mittelmark,SEL907838862780,511,,,,generation,19.924106987020963
SEE995487763138,"WEA 07, Serien-Nr. 1150011",Wind,3000.0,3.0,0.32,8409.6,14929,Treuenbrietzen,Treuenbrietzen,Potsdam-Mittelmark,SEL931529164624,2159,Umspannwerk Feldheim,Energiequelle GmbH,110000,,825.6664589819454
SEE952820097664,WS2 Gerdshagen,Wind,2300.0,2.3,0.32,6447.360000000001,16928,Gerdshagen,Gerdshagen,Prignitz,SEL932492754676,3423,,,,,146.4239567768043
SEE901561712985,WEA02,Wind,1500.0,1.5,0.32,4204.8,14797,Kloster Lehnin,Kloster Lehnin,Potsdam-Mittelmark,SEL907838862780,512,,,,generation,46.47666043554648
SEE969326428823,WEA03,Wind,1500.0,1.5,0.32,4204.8,14797,Kloster Lehnin,Kloster Lehnin,Potsdam-Mittelmark,SEL907838862780,513,,,,generation,13.258505166453363
SEE914370794936,WEA04,Wind,1500.0,1.5,0.32,4204.8,14797,Kloster Lehnin,Kloster Lehnin,Potsdam-Mittelmark,SEL907838862780,517,,,,generation,30.422992988839695
SEE984444480386,G02 Groß Pinnow 02,Wind,2000.0,2.0,0.32,5606.400000000001,16306,Hohenselchow-Groß Pinnow,Casekow,Uckermark,SEL946360652124,2862,Umspannwerk Woltersdorf,ENERTRAG,110000,distribution,277.4305984371512
SEE946887718488,G04 Groß Pinnow 04,Wind,2000.0,2.0,0.32,5606.400000000001,16306,Hohenselchow-Groß Pinnow,Casekow,Uckermark,SEL946360652124,2862,Umspannwerk Woltersdorf,ENERTRAG,110000,distribution,623.976439677035
SEE965178639158,G07 Groß Pinnow 07,Wind,2000.0,2.0,0.32,5606.400000000001,16306,Hohenselchow-Groß Pinnow,Casekow,Uckermark,SEL946360652124,2862,Umspannwerk Woltersdorf,ENERTRAG,110000,distribution,551.2622974785562
SEE963324318957,126001,Wind,3500.0,3.5,0.32,9811.2,4895,Kölsa,Falkenberg/Elster,Elbe-Elster,SEL976181524775,2496,,,110000,transmission,1508.0056143344675
SEE951836598950,WP Werder 18887,Wind,2000.0,2.0,0.32,5606.400000000001,15345,Rehfelde,Rehfelde,Märkisch-Oderland,SEL908785622502,860,,,,,2907.1054366834264
SEE951145266199,126002,Wind,3500.0,3.5,0.32,9811.2,4895,Kölsa,Falkenberg/Elster,Elbe-Elster,SEL976181524775,2498,,,110000,transmission,1526.6517374057726
SEE967277232858,WP Werder 18888,Wind,2000.0,2.0,0.32,5606.400000000001,15345,Rehfelde,Rehfelde,Märkisch-Oderland,SEL908785622502,860,,,,,3131.9348844566425
SEE993386810298,WEA 24119,Wind,2000.0,2.0,0.32,5606.400000000001,16866,Gumtow,Gumtow,Prignitz,SEL969667357219,2146,,,,minor_distribution,1490.3861063412462
SEE973551579564,WEA 24123,Wind,2000.0,2.0,0.32,5606.400000000001,16866,Gumtow,Gumtow,Prignitz,SEL969667357219,2146,,,,minor_distribution,1102.1120419280035
SEE977374606759,WEA 24118,Wind,2000.0,2.0,0.32,5606.400000000001,19339,Plattenburg,Plattenburg,Prignitz,SEL972729278803,2146,,,,minor_distribution,982.2826611477819
SEE930297642075,WEA 24124,Wind,2000.0,2.0,0.32,5606.400000000001,16866,Gumtow,Gumtow,Prignitz,SEL972729278803,2146,,,,minor_distribution,1626.2747002352482
SEE939144663041,WEA 24122,Wind,2000.0,2.0,0.32,5606.400000000001,16866,Gumtow,Gumtow,Prignitz,SEL969667357219,2146,,,,minor_distribution,1289.9103813891986
SEE926332554786,WEA 24125,Wind,2000.0,2.0,0.32,5606.400000000001,19339,Plattenburg,Plattenburg,Prignitz,SEL969667357219,2146,,,,minor_distribution,1937.9226980020096
SEE908707111015,Solarpark Alttrebbin,Solare Strahlungsenergie,144000.0,144.0,0.12,151372.8,15320,Neutrebbin,Neutrebbin,Märkisch-Oderland,SEL976674984123,2811,UW Alttrebbin,EnBW,,generation,47.030950816317414
SEE936162158023,Solarpark Gottesgabe,Solare Strahlungsenergie,144000.0,144.0,0.12,151372.8,15320,Neuhardenberg,Neuhardenberg,Märkisch-Oderland,SEL909052422504,2812,UW Gottesgabe Ost,EnBW,110000,generation,1243.8009202086375
SEE965173167885,WEA 24121,Wind,2000.0,2.0,0.32,5606.400000000001,16866,Gumtow,Gumtow,Prignitz,SEL969667357219,2146,,,,minor_distribution,994.1366034357401
SEE988180084075,WEA 24120,Wind,2000.0,2.0,0.32,5606.400000000001,16866,Gumtow,Gumtow,Prignitz,SEL969667357219,2146,,,,minor_distribution,883.4287213605496
SEE901365221010,WP Werder 18890,Wind,2000.0,2.0,0.32,5606.400000000001,15345,Rehfelde,Rehfelde,Märkisch-Oderland,SEL908785622502,860,,,,,2581.7697905167342
SEE906688445037,WP Werder 18889,Wind,2000.0,2.0,0.32,5606.400000000001,15345,Rehfelde,Rehfelde,Märkisch-Oderland,SEL908785622502,860,,,,,2278.8595604683183
